key,flaming,smoldering,residual,total
rx;natural;western;spring;group-2;dry;moderate;wet,[32255757.14875097],[3884192.57208344],[857016.],[36996965.72083442]
rx;natural;western;spring;group-2;dry;moderate;very wet,[32255757.14875097],[3884192.57208344],[857016.],[36996965.72083442]
rx;natural;western;spring;group-2;dry;moist;very dry,[31131610.34875097],[3759287.37208344],[857016.],[35747913.72083442]
rx;natural;western;spring;group-2;dry;moist;dry,[31131610.34875097],[3759287.37208344],[857016.],[35747913.72083442]
rx;natural;western;spring;group-2;dry;moist;moderate,[31131610.34875097],[3759287.37208344],[857016.],[35747913.72083442]
rx;natural;western;spring;group-2;dry;moist;moist,[31131610.34875097],[3759287.37208344],[857016.],[35747913.72083442]
rx;natural;western;spring;group-2;dry;moist;wet,[31131610.34875097],[3759287.37208344],[857016.],[35747913.72083442]
rx;natural;western;spring;group-2;dry;moist;very wet,[31131610.34875097],[3759287.37208344],[857016.],[35747913.72083442]
rx;natural;western;spring;group-2;dry;wet;very dry,[29782634.18875097],[3609401.13208344],[857016.],[34249051.32083442]
rx;natural;western;spring;group-2;dry;wet;dry,[29782634.18875097],[3609401.13208344],[857016.],[34249051.32083442]
rx;natural;western;spring;group-2;dry;wet;moderate,[29782634.18875097],[3609401.13208344],[857016.],[34249051.32083442]
rx;natural;western;spring;group-2;dry;wet;moist,[29782634.18875097],[3609401.13208344],[857016.],[34249051.32083442]
rx;natural;western;spring;group-2;dry;wet;wet,[29782634.18875097],[3609401.13208344],[857016.],[34249051.32083442]
rx;natural;western;spring;group-2;dry;wet;very wet,[29782634.18875097],[3609401.13208344],[857016.],[34249051.32083442]
rx;natural;western;spring;group-2;dry;very wet;very dry,[27534340.58875097],[3359590.73208344],[857016.],[31750947.32083442]
rx;natural;western;spring;group-2;dry;very wet;dry,[27534340.58875097],[3359590.73208344],[857016.],[31750947.32083442]
rx;natural;western;spring;group-2;dry;very wet;moderate,[27534340.58875097],[3359590.73208344],[857016.],[31750947.32083442]
rx;natural;western;spring;group-2;dry;very wet;moist,[27534340.58875097],[3359590.73208344],[857016.],[31750947.32083442]
rx;natural;western;spring;group-2;dry;very wet;wet,[27534340.58875097],[3359590.73208344],[857016.],[31750947.32083442]
rx;natural;western;spring;group-2;dry;very wet;very wet,[27534340.58875097],[3359590.73208344],[857016.],[31750947.32083442]
rx;natural;western;spring;group-2;moderate;very dry;very dry,[35412400.10875097],[8943624.01208344],[2224056.],[46580080.12083442]
rx;natural;western;spring;group-2;moderate;very dry;dry,[35412400.10875097],[8943624.01208344],[2224056.],[46580080.12083442]
